970097639,What's That Sound?,Totalidea Software GmbH,Apple App Store,iPad,Free,2015-03-11,Yes,Education,No,617,,0.0,0,,0.0
982297799,BudEye Calendar,HB Sundboms HS Konsult,Apple App Store,"iPad, iPhone",Free,2015-07-14,Yes,"Medical, Utilities",No,614,,0.0,166,,0.0
com.kidstatic.fruitvegetablesenglish,Fruits & vegetables toddlers,Kidstatic Apps,Google Store,All,Paid,2013-08-18,No,Education,No,596,,0.0,1138,,0.0
862363656,Alex learns to sort,Didactic Apps,Apple App Store,"iPad, iPhone",Paid,2014-05-01,No,"Medical, Education",No,541,,0.0,713,,0.0
954753893,Cognitive Behavioral Therapy - Overcoming Stress,Kevin O Brien,Apple App Store,"iPad, iPhone",Paid,2015-01-06,No,"Reference, Health & Fitness",No,529,,0.0,1084,,0.0
704876040,Turn Taker - Social Story & Sharing Tool,Touch Autism,Apple App Store,"iPad, iPhone",Paid,2013-09-19,No,"Games, Education, Educational (Games), Family (Games)",Yes,505,,0.0,1013,,0.0
919830429,Shape Puzzle Saga : Learn about Shape Size & Jigsaw for Preschool & Kindergarten Age Kids FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-04,Yes,"Games, Education, Educational (Games), Puzzle (Games)",No,502,,0.0,0,,0.0
355682603,My Name is Khan - Official Game,Hungama Digital Media Entertainment Pvt. Ltd.,Apple App Store,"iPad, iPhone",Paid,2010-02-15,No,"Games, Trivia (Games), Puzzle (Games), Entertainment",No,493,,0.0,343,,0.0
919830764,Sort by Size - Learn Basic Counting & Improve Problem Solving Skills for 1st Grade Kids FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-04,Yes,"Games, Education, Puzzle (Games), Family (Games)",No,466,,0.0,0,,0.0
994899641,iDo Hygiene –Daily life skills activities for individuals with special needs (full version),C.E.T - THE CENTER FOR EDUCATIONAL TECHNOLOGY,Apple App Store,iPad,Paid,2015-06-14,No,Education,No,456,,0.0,1914,,0.0
358972670,Eye Contact - Toybox,FIZZBRAIN LLC,Apple App Store,"iPad, iPhone",Paid,2010-03-02,No,"Games, Education, Educational (Games)",No,446,,0.0,835,,0.0
com.MySocialStories,MySocialStories,SDKAPPS,Google Store,All,Paid,2014-08-08,No,Medical,No,428,,0.0,1058,,0.0
549731884,Planner Guide,Web Ascender,Apple App Store,"iPad, iPhone",Free,2012-08-21,No,"Reference, Education",No,399,,0.0,0,,0.0
com.bdfihggggf.edhbdfihggggf,Autism World Magazine,MagsWest Publishing Pty. Ltd.,Google Store,All,Free,2014-08-26,Yes,News and Magazines,No,389,,0.0,0,,0.0
495527171,I am a child: Just Like You,Miss Pivot,Apple App Store,"iPad, iPhone",Paid,2012-01-24,No,"Education, Books",No,379,,0.0,744,,0.0
435883237,(Spanish) Speech with Milo: Verbs,Doonan Speech Therapy,Apple App Store,"iPad, iPhone",Paid,2011-05-13,No,Education,No,379,,0.0,780,,0.0
456940598,Sōsh™ Lite,Dr. Mark Bowers,Apple App Store,"iPad, iPhone",Free,2011-08-18,No,"Education, Lifestyle",No,351,,0.0,0,,0.0
558161781,Avaz Pro - AAC App for Autism (Augmentative Picture Communication Software for Children with Special Needs),"Avaz, Inc.",Apple App Store,iPad,Paid,2012-09-18,No,"Medical, Education",No,334,,0.0,35208,,0.0
613228635,Grimace,Oliver Spindler,Apple App Store,"iPad, iPhone",Paid,2013-03-15,No,"Reference, Education",No,305,,0.0,208,,0.0
684656452,自闭症测试,YU MEI HUANG,Apple App Store,"iPad, iPhone",Paid,2013-08-13,No,Medical,No,269,,0.0,364,,0.0
com.agnitus.play.shapebuildingmonsters.halloween.paid,Tri Angle- Learn Shapes Puzzle,Agnitus,Google Store,All,Paid,2014-10-16,No,Educational (Games),No,245,,0.0,487,,0.0
627892435,National Autistic Society: Take Action,hcetech,Apple App Store,"iPad, iPhone",Free,2013-04-04,No,"Reference, Utilities",No,229,,0.0,0,,0.0
435884050,(Spanish) Speech with Milo: Prepositions,Doonan Speech Therapy,Apple App Store,"iPad, iPhone",Paid,2011-05-13,No,Education,No,229,,0.0,477,,0.0
442685559,Sōsh™,Dr. Mark Bowers,Apple App Store,"iPad, iPhone",Paid,2011-06-15,No,"Education, Lifestyle",No,218,,0.0,5842,,0.0
933635827,Planet Hearwell Zone,The Listening Lab,Apple App Store,iPad,Free,2014-12-03,No,"Education, Entertainment",No,208,,0.0,0,,0.0
923259804,Preschool Tracing Lines Doodling & Hand Writing Puzzle for for Kids: Halloween Theme FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-14,Yes,"Games, Education, Educational (Games), Family (Games)",No,199,,0.0,0,,0.0
488183153,Social Navigator,Seven Minds,Apple App Store,"iPad, iPhone",Paid,2011-12-16,No,"Education, Lifestyle",No,195,,0.0,6165,,0.0
com.conduit.app_cfde2a69e8ec4d49917206a5f275ba28.app,Asperger Child,Janelle Wall,Google Store,All,Paid,2015-05-04,No,Education,No,184,,0.0,347,,0.0
395347869,SymTrend Toilet,"SymTrend, Inc.",Apple App Store,"iPad, iPhone",Free,2010-10-15,No,"Education, Health & Fitness",No,171,,0.0,0,,0.0
916161767,Candy Bricks - Shape Building Jigsaw Puzzle for Toddlers in Preschool Kindergarten & 1st Grade FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-08,Yes,"Games, Education, Educational (Games), Puzzle (Games)",No,167,,0.0,0,,0.0
667785615,Kidz@GCU Hospital,Darcelle Hinze,Apple App Store,"iPad, iPhone",Free,2013-07-16,No,"Games, Education, Educational (Games)",No,166,,0.0,0,,0.0
973895146,3D CubeMaster,Totalidea Software GmbH,Apple App Store,iPad,Free,2015-03-11,No,"Games, Educational (Games), Education, Family (Games)",No,161,,0.0,0,,0.0
975195820,3D BodyMaster,Totalidea Software GmbH,Apple App Store,iPad,Free,2015-03-17,No,"Games, Educational (Games), Education, Family (Games)",No,160,,0.0,0,,0.0
961408546,Asperger Child,Janelle Wall,Apple App Store,"iPad, iPhone",Paid,2015-03-08,No,Education,No,144,,0.0,182,,0.0
449076204,iHowTo-Book,Kensei Ikeda,Apple App Store,"iPad, iPhone",Free,2011-07-18,No,"Education, Books",No,140,,0.0,0,,0.0
com.ksl.aspimath,TickTock! fun maths game.,KSLsoft,Google Store,All,Paid,2015-10-03,No,Casual (Games),No,138,,0.0,115,,0.0
1053909722,Amora - Learning Games for Kids and Toddlers with Aspergers Autistic Spectrum and sensory issues.,Antonio Ramon Vasconcelos de Freitas,Apple App Store,"iPad, iPhone",Paid,2015-11-10,No,"Games, Education, Educational (Games), Puzzle (Games)",No,125,,0.0,273,,0.0
430255912,Autism Wallpaper!,Stafford Signs,Apple App Store,"iPad, iPhone",Paid,2011-04-12,No,Lifestyle,No,125,,0.0,86,,0.0
com.adhd.life,LIFE :),High Definition Services,Google Store,All,Paid,2015-07-10,No,Health and Fitness,No,121,,0.0,111,,0.0
1001090017,I Can Have Conversations With You!™ - #2 - Novice Skill Level,"Autism Breakthrough Solutions, LLC",Apple App Store,iPad,Paid,2015-07-24,No,"Medical, Education",No,113,,0.0,1147,,0.0
1038020038,A game of Onions,Mr Sandbox,Apple App Store,"iPad, iPhone",Paid,2015-09-12,No,"Games, Strategy (Games), Puzzle (Games)",No,112,,0.0,0,,0.0
568584776,Avaz India - AAC App for Autism (Augmentative Picture Communication Software for Children with Special Needs),"Avaz, Inc.",Apple App Store,iPad,Paid,2012-10-16,No,"Medical, Education",No,112,,0.0,7376,,0.0
945122730,:prose,"Smartstones, Inc.",Apple App Store,"iPad, iPhone",Paid,2015-04-04,Yes,"Medical, Education",Yes,111,,0.0,0,,0.0
919898509,Kids Shape Puzzle Game: Learn about Shapes Sizes Space  for PreschoolKindergarten & Grade 1 FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-04,Yes,"Games, Education, Educational (Games), Puzzle (Games)",No,106,,0.0,0,,0.0
924794932,Monster Preschool Tracing ABC Lines Doodling & Hand Writing Puzzle for 3 year old 4 year old & 5 year old kids in Preschool Montessori & Kindergarten : Halloween Theme,Agnitus,Apple App Store,"iPad, iPhone",Paid,2014-10-15,No,"Games, Education, Educational (Games), Family (Games)",No,104,,0.0,141,,0.0
dk.exakt.SymbolKommunikation,Symbolkommunikation,EXAKT,Google Store,All,Free,2014-09-26,No,Education,No,88,,0.0,0,,0.0
com.agnitus.play.tracinglinesmonsters.halloween.paid,Smart Shape- Kids Tracing Game,Agnitus,Google Store,All,Paid,2014-10-16,No,Educational (Games),No,87,,0.0,39,,0.0
appinventor.ai_apps4autism.Apps4Autism_AspergersAQ,APPS 4 AUTISM The Aspergers AQ,VideoKrack,Google Store,All,Free,2015-05-06,No,Medical,No,83,,0.0,0,,0.0
897824357,Block Stack : Shape & Logic Puzzle by Agnitus FULL,Agnitus,Apple App Store,"iPad, iPhone",Paid,2014-07-31,No,"Games, Education, Educational (Games), Family (Games)",No,83,,0.0,112,,0.0
951301779,Wiggly Stories,Becky Bush,Apple App Store,iPad,Free,2015-01-11,No,Education,No,78,,0.0,235,,0.0
458050161,JVA Stammheim Semesterprojekt Andreas Magdanz,MagBooks,Apple App Store,"iPad, iPhone",Free,2011-08-23,No,"Books, Photo & Video",No,78,,0.0,0,,0.0
897825915,Shape Puzzle Saga : Learn about Shape Size & Jigsaw for Preschool & Kindergarten Age Kids FULL,Agnitus,Apple App Store,"iPad, iPhone",Paid,2014-07-31,No,"Games, Education, Educational (Games), Puzzle (Games)",No,76,,0.0,53,,0.0
973509340,What's That Shadow,Totalidea Software GmbH,Apple App Store,iPad,Free,2015-03-11,No,"Games, Educational (Games), Education, Family (Games)",No,75,,0.0,0,,0.0
786676546,Discovering Emotions with Zeely - Educational Tool for Learning Emotions,Virtual EyeSee,Apple App Store,iPad,Paid,2014-01-19,No,"Medical, Education",No,75,,0.0,970,,0.0
com.agnitus.play.hangingcolorshalloween.halloween.paid,Pumpkin Colors Playtime FULL,Agnitus,Google Store,All,Paid,2014-10-16,No,Educational (Games),No,74,,0.0,24,,0.0
390587517,Look In My Eyes Dinosaur,FIZZBRAIN LLC,Apple App Store,"iPad, iPhone",Paid,2010-09-15,No,"Games, Education, Educational (Games)",No,74,,0.0,140,,0.0
com.avazapp.autism.en.avaz,Avaz - AAC App for Autism,Avaz Inc.,Google Store,All,Paid,2014-09-09,No,Education,No,69,,0.0,8939,,0.0
922952477,Halloween Phonics & Spelling: Learn ABC Alphabet Names for Kids FREE,Agnitus,Apple App Store,"iPad, iPhone",Free,2014-10-14,Yes,"Games, Education, Educational (Games), Family (Games)",No,68,,0.0,0,,0.0
com.dunedinmultimedia.aspiegirl,AspieGirl,Dunedin Multimedia,Google Store,All,Paid,2013-07-22,No,Health and Fitness,No,65,,0.0,66,,0.0
com.agnitus.play.senseofspellinghalloween.halloween.paid,Smart Spelling- Learn to Spell,Agnitus,Google Store,All,Paid,2014-10-16,No,Educational (Games),No,62,,0.0,0,,0.0
779305002,Emotion Fonts,Allison McCrohan,Apple App Store,"iPad, iPhone",Paid,2013-12-31,No,"Utilities, Social Networking",No,59,,0.0,40,,0.0
923997149,Avaz Español - AAC App para el autismo (Software de comunicación aumentativa Imagen para Niños con Necesidades Especiales),"Avaz, Inc.",Apple App Store,iPad,Paid,2014-10-16,No,"Medical, Education",No,57,,0.0,4847,,0.0
593442556,Marie's Words Plus HD,Marie's Words,Apple App Store,iPad,Paid,2013-01-20,No,"Education, Business",No,56,,0.0,776,,0.0
air.atebol.sgiliaucymdeithasol.UsingTheToilet,Using the toilet,Atebol,Google Store,All,Paid,2014-05-28,No,Education,No,54,,0.0,44,,0.0
com.honey.diseasefaq,Medical disease FAQ,Honey Computing Services,Google Store,All,Paid,2014-06-27,No,Medical,No,53,,0.0,110,,0.0
air.com.fundacionplanetaimaginario.isequenceslite,iSEQUENCES LITE,FUNDACION PLANETA IMAGINARIO,Google Store,All,Free,2013-12-16,No,Education,No,51,,0.0,0,,0.0
486080789,Autie Aspie Life,Douglas S Sparling,Apple App Store,"iPad, iPhone",Free,2011-12-09,No,"News, Medical",No,48,,0.0,0,,0.0
886763972,Indiana Health Group,Kurt Snyder,Apple App Store,"iPad, iPhone",Free,2014-06-16,No,Medical,No,47,,0.0,0,,0.0
904969626,MySocialStories,SDKAPPS,Apple App Store,"iPad, iPhone",Paid,2014-08-14,No,"Medical, Education",No,47,,0.0,94,,0.0
